EventTime,Origin,Destination,replicate,Continent_origin,Continent_dest,date,month,Region_origin,Region_dest,biweek,Region_origin2,Region_dest2
2021.04111,Portugal,Angola,1,Europe,Africa,2021-01-16,2021-01-01,Western Europe,Southern Africa,2021-01-10,Western Europe,Southern Africa
2021.04478,South Africa,Angola,1,Africa,Africa,2021-01-17,2021-01-01,Southern Africa,Southern Africa,2021-01-10,Southern Africa,Southern Africa
2021.05482,United Kingdom,Angola,1,Europe,Africa,2021-01-21,2021-01-01,Western Europe,Southern Africa,2021-01-10,Western Europe,Southern Africa
2021.05533,South Africa,Angola,1,Africa,Africa,2021-01-21,2021-01-01,Southern Africa,Southern Africa,2021-01-10,Southern Africa,Southern Africa
2021.06303,Portugal,Angola,1,Europe,Africa,2021-01-24,2021-01-01,Western Europe,Southern Africa,2021-01-24,Western Europe,Southern Africa
2021.06304,Portugal,Angola,1,Europe,Africa,2021-01-24,2021-01-01,Western Europe,Southern Africa,2021-01-24,Western Europe,Southern Africa
2021.06307,Portugal,Angola,1,Europe,Africa,2021-01-24,2021-01-01,Western Europe,Southern Africa,2021-01-24,Western Europe,Southern Africa
2021.06336,Portugal,Angola,1,Europe,Africa,2021-01-24,2021-01-01,Western Europe,Southern Africa,2021-01-24,Western Europe,Southern Africa
2021.07196,South Africa,Angola,1,Africa,Africa,2021-01-27,2021-01-01,Southern Africa,Southern Africa,2021-01-24,Southern Africa,Southern Africa
2021.07402,Portugal,Angola,1,Europe,Africa,2021-01-28,2021-01-01,Western Europe,Southern Africa,2021-01-24,Western Europe,Southern Africa
2021.07672,South Africa,Angola,1,Africa,Africa,2021-01-29,2021-01-01,Southern Africa,Southern Africa,2021-01-24,Southern Africa,Southern Africa
2021.07672,South Africa,Angola,1,Africa,Africa,2021-01-29,2021-01-01,Southern Africa,Southern Africa,2021-01-24,Southern Africa,Southern Africa
2021.07673,South Africa,Angola,1,Africa,Africa,2021-01-29,2021-01-01,Southern Africa,Southern Africa,2021-01-24,Southern Africa,Southern Africa
2021.07708,Portugal,Angola,1,Europe,Africa,2021-01-29,2021-01-01,Western Europe,Southern Africa,2021-01-24,Western Europe,Southern Africa
2021.07946,South Africa,Angola,1,Africa,Africa,2021-01-30,2021-01-01,Southern Africa,Southern Africa,2021-01-24,Southern Africa,Southern Africa
2021.08223,Burkina Faso,Angola,1,Africa,Africa,2021-01-31,2021-01-01,Western Africa,Southern Africa,2021-01-24,Western Africa,Southern Africa
2021.09318,Portugal,Angola,1,Europe,Africa,2021-02-04,2021-02-01,Western Europe,Southern Africa,2021-01-24,Western Europe,Southern Africa
2021.09318,USA,Angola,1,,Africa,2021-02-04,2021-02-01,,Southern Africa,2021-01-24,,Southern Africa
2021.10195,South Africa,Angola,1,Africa,Africa,2021-02-07,2021-02-01,Southern Africa,Southern Africa,2021-02-07,Southern Africa,Southern Africa
2021.10686,South Africa,Angola,1,Africa,Africa,2021-02-09,2021-02-01,Southern Africa,Southern Africa,2021-02-07,Southern Africa,Southern Africa
2021.10686,Portugal,Angola,1,Europe,Africa,2021-02-09,2021-02-01,Western Europe,Southern Africa,2021-02-07,Western Europe,Southern Africa
